,stt,name,address,lat,lng,reviews,rating,query,city
195,196,Điểm Giữ Xe Lê Anh Xuân,"Address: 44 Đ. Lê Anh Xuân, Phường Bến Thành, Quận 1, Hồ Chí Minh, Vietnam",10.7721426,106.6949335,"[""This lot has no outside parking, it's a boring place, the security guard is lying to everyone"", ""I parked my car here, but one of the two guys drove the car, but neither of them admitted to breaking the car's glass, while the morning I parked the car it was still intact. When I say that, you guys just shut up and don't say anything or pay anything back.""]",2.6,parking Sài Gòn,Hồ Chí Minh
196,197,Cẩu hoika,"Address: 7 QL1A, Bình Hưng Hoà B, Bình Tân, Hồ Chí Minh, Vietnam",10.8195136,106.6006352,[],5.0,parking Sài Gòn,Hồ Chí Minh
197,198,Bãi giữ xe An Đông,"Address: 100 Hùng Vương, Phường 9, Quận 5, Hồ Chí Minh, Vietnam",10.7585529,106.6706314,"[""The parking attendant curses customers, has an attitude, says customers \""If you can send it then send it, if you can't send it then leave\"", the market style is very rude, everyone avoid this place."", ""Parking is too expensive. Timing from 5:45 a.m. to 11:03 a.m. Take 90k. It cost nearly 200k to be sent in the afternoon, but that's cheap."", ""First hour 40k next 1h 10k hazzz Saigon, come to Phu My and I'll give you fried tofu""]",1.8,parking Sài Gòn,Hồ Chí Minh
198,199,Bãi đỗ xe205,"Address: 205, Trung Mỹ Tây, Quận 12, Hồ Chí Minh, Vietnam",10.8564283,106.6129629,[],5.0,parking Sài Gòn,Hồ Chí Minh
199,200,Đức oto cũ Sài Gòn,"Address: 100/6bis Tổ22 KP2 QL1, Tân Hưng Thuận, Quận 12, Hồ Chí Minh, Vietnam",10.8549311,106.6367545,[],,parking Sài Gòn,Hồ Chí Minh
200,201,Tri An Parking,"Address: 101 QL1A, Thới An, Quận 12, Hồ Chí Minh, Vietnam",10.8615325,106.6581347,[],4.5,parking Sài Gòn,Hồ Chí Minh
201,202,Bãi giữ xe hẻm 145 Nguyễn Văn Trỗi,"Address: 145/4 Đ. Nguyễn Văn Trỗi, Phường 11, Phú Nhuận, Hồ Chí Minh, Vietnam",10.7946084,106.6763871,"[""Any car can be parked, everyone. Luckily I found this place. Thank you very much."", ""Cheerful beach owner. Cool. Morning 60k"", ""Parking here is safe, the parking lot has a roof and the support staff helps drive the car in and out so I'm very satisfied. The price seems a bit high but because of the location and the roof, I think it's ok!""]",5.0,parking Sài Gòn,Hồ Chí Minh
202,203,Bãi giữ xe ô tô,"Address: Bãi giữ xe ô tô lâm cường, 179 Đ. Bình Thới, Phường 10, Quận 11, Hồ Chí Minh, Vietnam",10.764674,106.6464139,"[""I haven't had time to see the parking lot yet, but when I asked the security guard, he was curt and unpleasant. So the owner needed 1 second for me to turn around."", ""Clean parking lot, convenient access right at the intersection of Binh Thoi & Lanh Binh Thang, Ong Ich Khiem""]",4.5,parking Sài Gòn,Hồ Chí Minh
203,204,"Bãi giữ xe máy, ô tô qua đêm","Address: 441/38C Điện Biên Phủ, Phường 25, Bình Thạnh, Hồ Chí Minh, Vietnam",10.8017221,106.7133041,"[""DONG DA Canyon 441 DIEN BIEN PHU, WARD 25, BINH THANH""]",5.0,parking Sài Gòn,Hồ Chí Minh
204,205,Bãi xe,"Address: 176 Đ.Trương Thị Hoa, Hiệp Thành, Quận 12, Hồ Chí Minh, Vietnam",10.8637694,106.6450881,"[""Extremely satisfied"", ""I am very satisfied""]",5.0,parking Sài Gòn,Hồ Chí Minh
205,206,Bãi Đậu Xe Sài Gòn Nhỏ,"Address: 173 Quốc lộ 1A, Tân Mỹ, Thủ Đức, Hồ Chí Minh, Vietnam",10.8432634,106.7448074,[],,parking Sài Gòn,Hồ Chí Minh
206,207,Bãi Giữ Xe 79,"Address: 45 Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh, Vietnam",10.7364601,106.6799866,[],3.2,parking Sài Gòn,Hồ Chí Minh
207,208,Rent Me Parkings lot,"Address: Hội Thuận Bài Tương Tế /12, 236 Điện Biên Phủ, Phường 17, Bình Thạnh, Hồ Chí Minh, Vietnam",10.7978033,106.7063887,"[""Nothing to say, the bike is going great, great customer service, I recommend Rent Me Motorbike""]",5.0,parking Sài Gòn,Hồ Chí Minh
208,209,Bãi gởi xe,"Address: 120 Đ. Ngô Quyền, Phường 9, Quận 5, Hồ Chí Minh, Vietnam",10.7567545,106.6663017,"[""You guys go to number 1 Tan Da to park better. 50k for parking all day."", ""This place is very irresponsible and uneducated. Everyone should be careful and stay away."", ""The staff spoke impolitely""]",2.3,parking Sài Gòn,Hồ Chí Minh
209,210,Bãi Giữ Xe Ô Tô,"Address: 310 Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh, Vietnam",10.7701913,106.6448312,[],2.0,parking Sài Gòn,Hồ Chí Minh
210,211,Bãi đỗ xe (parking),"Address: 229 Khánh Hội, Phường 3, Quận 4, Hồ Chí Minh, Vietnam",10.758693,106.699108,[],,parking Sài Gòn,Hồ Chí Minh
211,212,Bãi giữ xe TNXP,"Address: 161 Lê Lai, Phường Bến Thành, Quận 1, Hồ Chí Minh, Vietnam",10.771807,106.699084,"[""The staff spoke rudely and had an inappropriate attitude. When I got the car and was about to put on my coat, the staff yelled at me, \""Why haven't you taken the car yet? You're going to park the car, not to go to war, why are you in such a hurry? The staff is really"", ""This was the first and last time I parked my car here. I spent money to park my car, but when I went to pick up my car, the staff had an attitude and forced me to find the car and drive it myself 🙂, so why hire a staff person? A car costs …"", ""The price list for motorbikes in the morning: 6am - 6pm is 4,000 VND, but when picking up the motorbike, the staff collects 10,000 VND. When I asked why they took 10,000 VND, the staff said \""foreign guests\"" were 10,000 VND.""]",2.0,parking Sài Gòn,Hồ Chí Minh
212,213,Bãi giữ xe ô tô 76,"Address: 76 Trần Quốc Thảo, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh, Vietnam",10.7837695,106.6862185,"[""On Saturdays and Sundays, it opens a bit late, around 6 o'clock, thanks to the lady who sent the water cart there and asked to open early. On weekdays, it opens earlier. Spacious parking lot from morning to noon for 50k. Convenient location …"", ""The owner is attentive and clean""]",4.8,parking Sài Gòn,Hồ Chí Minh
213,214,Sai Gon Station,"Address: 1 Nguyễn Thông, Phường 9, Quận 3, Hồ Chí Minh 700000, Vietnam",10.7825892,106.6769701,"[""This station was good, good communication, well organised.  Plenty of seating whilst waiting with lots of shops to buy snacks from.  Everyone is called through to the platform just before the train arrives.  Train departed on time.  All good."", ""If you come here with Grab or Xanh car, the app's direction may take the driver to prohibited street. 1 Nguyen Thong is the address, but the same address spans many buildings outside Ga Saigon. …"", ""the train station in Saigon is a nuce place! we very happy when we can see they change better than""]",4.5,parking Sài Gòn,Hồ Chí Minh
214,215,Binh Hung Parking Lot,"Address: B16/38W9, QL50, Bình Hưng, Bình Chánh, Hồ Chí Minh 71813, Vietnam",10.7191634,106.6565397,"[""Professional and reputable service, large and safe parking lot.\nEnthusiastic staff. I am very satisfied when parking my car here."", ""Can I park my car? Is there any space left?"", ""Drive enthusiastically""]",3.5,parking Sài Gòn,Hồ Chí Minh
215,216,Cobra Auto Thủ Đức,"Address: 30 Đường số 15, Linh Xuân, Thủ Đức, Hồ Chí Minh, Vietnam",10.8800364,106.7616666,"[""bad quality product, fault quote inform, scram..."", ""Bad service. Terrible.""]",3.8,parking Sài Gòn,Hồ Chí Minh
216,217,Bãi Giữ Xe Anh Thư,"Address: 206 Thoại Ngọc Hầu, Phú Thạnh, Tân Phú, Hồ Chí Minh, Vietnam",10.7793054,106.6315165,[],5.0,parking Sài Gòn,Hồ Chí Minh
217,218,NHÀ XE DUY THANH,"Address: 1 Đ. Thành Thái, Phường 14, Quận 10, Hồ Chí Minh, Vietnam",10.7792687,106.6602761,"[""Maybe gg.review the bus company doesn't see it or doesn't care\nBut a very bad experience in terms of service and attitude. Nowadays there are many services for customers to choose from, not just one bus, if you still have that opinion then ....."", ""The bus company works very badly, no system, making other people's work late. The bus company gets drunk and talks nonsense. When you call, they don't pick up the phone, making work late."", ""They even dropped off at the wrong location. They said no and they ignored the bus. The car called to wait for him, then he took care of it and then disappeared. Too BAD!!!!!!""]",2.6,parking Sài Gòn,Hồ Chí Minh
218,219,Bãi đỗ xe Thành Đạt,"Address: 8 Đ. Thạnh Lộc 27, 39, Quận 12, Hồ Chí Minh, Vietnam",10.8666649,106.6872185,[],5.0,parking Sài Gòn,Hồ Chí Minh
219,220,Southern parking,"Address: 13 QL1A, Thới An, Quận 12, Hồ Chí Minh, Vietnam",10.8602778,106.6636111,[],4.0,parking Sài Gòn,Hồ Chí Minh
220,221,Bãi Xe Công Đoàn,"Address: 376 QL1A, Tam Binh, Thủ Đức, Hồ Chí Minh, Vietnam",10.8719168,106.7408992,[],5.0,parking Sài Gòn,Hồ Chí Minh
221,222,Bãi xe Ngọc A Tỷ,"Address: B5/17a, Đ. Trần Đại Nghĩa, Tân Kiên, Bình Tân, Hồ Chí Minh, Vietnam",10.7230836,106.5976673,"[""Chan Xuan Hoa works without heart, customers call but they don't pick up the phone...""]",3.9,parking Sài Gòn,Hồ Chí Minh
222,223,Bến xe khách Công Lập,"Address: 132b Lý Thánh Tông, Tân Thới Hoà, Tân Phú, Hồ Chí Minh 70000, Vietnam",10.7671431,106.6257876,[],5.0,parking Sài Gòn,Hồ Chí Minh
223,224,Bãi xe Thanh Niên,"Address: Bình Trị Đông B, Bình Tân, Ho Chi Minh City, Vietnam",10.7438537,106.6081395,"[""Very cramped. Run to get goods to send to the garage, ride a motorbike into the cargo yard, it collects 10,000 itchy throat. Less than a minute after entering and exiting. Very poor."", ""The parking lot is spacious and airy"", ""Ok, good service, open parking lot""]",3.5,parking Sài Gòn,Không xác định
224,225,Bãi xe xuân phong,"Address: MHQP+C5J, TT. Tân Túc, Bình Chánh, Hồ Chí Minh, Vietnam",10.688385,106.585696,"[""Unreliable car seller, took all the money but delivered the car late many times. Guaranteed inspection but the car is not as inspected, is the charm real? Guys, get out of this car lot."", ""Selling a truck with a box that is not the right size according to the inspection certificate, the vehicle has many errors but I don't understand why the inspection was passed, the documents were withdrawn for more than a month... in general, I will never buy a car here again!""]",2.3,parking Sài Gòn,Hồ Chí Minh
225,226,Bãi Giữ Xe Máy,"Address: 78 Hồ Tùng Mậu, Bến Nghé, Quận 1, Hồ Chí Minh, Vietnam",10.772576,106.703828,"[""This is one of the large parking areas in the center. I don’t like using these parking, but when you come to the center by your scooter, you really need to use these paid parking."", ""It doesn't have a cover for vehicles"", ""I often go to the walking street and often park my bike here. The space is large and the bike arrangement is reasonable, very easy to get to customers. I find it very convenient to arrange 2 rows of motorbikes. …""]",2.9,parking Sài Gòn,Hồ Chí Minh
226,227,Xe Yến Điện,"Address: QMH5+Q6G, Phường 14, Quận 10, Hồ Chí Minh, Vietnam",10.7794318,106.6580817,"[""1B Bac Hai bus station in Ho Chi Minh City, the drivers and porters are all very rude, they have to help carry heavy goods onto the bus but no one wants to touch them, they just play cards and that's it. The fees are high and the employees are miserable."", ""Drop off at the wrong place, booked Bac Hai bus to drop off at Nong Lam University 17km away ???""]",2.3,parking Sài Gòn,Hồ Chí Minh
227,228,Avenue Apartment Basement,"Address: 124 Đ. Số 11, Tam Binh, Thủ Đức, Hồ Chí Minh, Vietnam",10.8636689,106.7338588,"[""Parking garage for residents of Saigon Avenue Apartment""]",5.0,parking Sài Gòn,Hồ Chí Minh
228,229,Bãi Giữ Xe Năm Xẳm,"Address: 419 Đ. Hiệp Thành 13, Hiệp Thành, Quận 12, Hồ Chí Minh, Vietnam",10.8841082,106.6383984,[],4.5,parking Sài Gòn,Hồ Chí Minh
229,230,Bãi Giữ Xe Cấp Cứu,"Address: Tổ 73, 15A2 Đ. Tô Hiến Thành, Khu Phố 9, Quận 10, Hồ Chí Minh, Vietnam",10.7720797,106.6603123,[],,parking Sài Gòn,Hồ Chí Minh
230,231,Bãi Giữ Xe Ôtô Trường Phong | Bãi Xe Trong Nhà 24/7,"Address: 95/1 Bưng Ông Thoàn, Phường Phú Hữu, Thủ Đức, Hồ Chí Minh 71212, Vietnam",10.8027488,106.8015122,"[""New parking lot, clean, airy, safe, covered, good fire protection. Competitive price""]",5.0,parking Sài Gòn,Hồ Chí Minh
231,232,Bãi Xe Anh Tuấn,"Address: 481 Lê Văn Khương, Thới An, Quận 12, Hồ Chí Minh, Vietnam",10.8858227,106.6478197,"[""The staff was rude.. answered the phone without asking if you were picking me up at that station.. hung up immediately.. so disrespectful."", ""The parking lot is a shady business. Everyone should check before coming here."", ""This place has a delicious porridge and vermicelli restaurant""]",3.3,parking Sài Gòn,Hồ Chí Minh
232,233,Garage Thanh Tuấn Quận 7,"Address: 793/62/20, 793/55 Trần Xuân Soạn, Tân Hưng, Quận 7, Hồ Chí Minh, Vietnam",10.7464523,106.6993592,"[""Uncle Thuong's cold patting is very good and the price is also ok, not too expensive, guys. You did it carefully too""]",4.1,parking Sài Gòn,Hồ Chí Minh
233,234,Bãi giữ xe Công ty DV Công ích Quận 3,"Address: 42 Tú Xương, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh, Vietnam",10.7784796,106.6842396,"[""The parking lot is small and cramped\nPrice 10k/car/turn\nGet one near the eye hospital\nDon't send it here, look elsewhere"", ""This parking lot only keeps motorbikes, not cars. If you want to park your car, go to Ngo Thoi Nhiem and Su Thien Chieu areas.""]",2.3,parking Sài Gòn,Hồ Chí Minh
234,235,Bãi xe,"Address: Nguyễn Thị Sưa, Vĩnh Lộc A, Bình Chánh, Hồ Chí Minh, Vietnam",10.8296481,106.5659747,[],3.8,parking Sài Gòn,Hồ Chí Minh
235,236,Bãi Xe Buýt Phổ Quang - 66 (Công Ty Xe Khách Sài Gòn) - Phổ Quang,"Address: Phường 2, Tân Bình, Ho Chi Minh City, Vietnam",10.8057011,106.6667738,"[""This is the central parking lot for many of the City's bus routes. The access road is near Pho Quang Pagoda, so there will be traffic jams on full moon days and traffic jams during off-hours."", ""The bus in the morning is quite punctual, but in the afternoon there is traffic jam so it is a bit late""]",3.7,parking Sài Gòn,Không xác định
236,237,Rồng Việt Limousine - Bãi xe 24/7,"Address: 58 QL1A, Bà Điểm, Hóc Môn, Hồ Chí Minh, Vietnam",10.8303225,106.6044024,[],3.7,parking Sài Gòn,Hồ Chí Minh
237,238,Bãi Giữ Xe Máy,"Address: 200 Lê Lai, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh, Vietnam",10.7685802,106.6906464,"[""They broke my motorbike and the little boy is useless . Don’t park here!"", ""The technicians worked very gently and thoughtfully. There's no pain when it comes to hair removal or acne treatment. Once done, you'll be told to take good care of your skin""]",4.2,parking Sài Gòn,Hồ Chí Minh
238,239,Sân bóng đá Sài gòn mới,"Address: 71/51/49 Đ. Đào Tông Nguyên, khu phố 7, Nhà Bè, Hồ Chí Minh 758000, Vietnam",10.684745,106.747474,"[""The new stadium is great to play in, the parking lot is quite large.""]",5.0,parking Sài Gòn,Hồ Chí Minh
239,240,Công Ty TNHH Một Thành Viên Giao Nhận Vận Chuyển Đường Sắt Sài Gòn Ratraco,"Address: KM 1710+560, Ga Sóng Thần, Khu Phố, Bình Đường 1, An Bình, Dĩ An, Bình Dương, Vietnam",10.8736792,106.7581884,[],,parking Sài Gòn,Bình Dương
240,241,xe hợp đồng,"Address: Võ Văn Kiệt, Phường Nguyễn Thái Bình, Thành phố Hồ Chí Minh, Hồ Chí Minh 70000, Vietnam",10.7654016,106.6997302,[],,parking Sài Gòn,Hồ Chí Minh
241,242,Văn Phòng Xe Điền Linh Tân Bình,"Address: 39 Xuân Hồng, Phường 12, Tân Bình, Hồ Chí Minh, Vietnam",10.7945499,106.6524204,"[""We’ve taken a bus trip with this company today from HCMC to Dalat. We are overall very happy with the experience ☺️ The trip was scheduled for 11 AM. We arrived to the office 20 minutes earlier and were given the tickets and stickers for …"", ""If I could give 0 star i would definitely do!\nOverall service is very unsatisfied. If you’re looking for transport service in Ho Chi Minh City, please go for others. At first when I arrived, staffs seemed …"", ""If you want to be yelled at, told to not get off at your closest stop and taken far away from your ticketed location late at night, use this company. …""]",2.3,parking Sài Gòn,Hồ Chí Minh
242,243,Bãi đậu xe Cao Thắng,"Address: 177 Cao Thắng, Phường 12, Quận 10, Hồ Chí Minh, Vietnam",10.7745839,106.6760626,"[""I had some business in Cao Thang so I parked the car there. When I left to get my car, I couldn't get it because the door was locked from the outside. I had to wait 30 minutes to get the car""]",3.3,parking Sài Gòn,Hồ Chí Minh
243,244,Huỳnh tâm,"Address: 1 QL1A, Thạnh Xuân, Quận 12, Hồ Chí Minh, Vietnam",10.8619736,106.6677363,[],,parking Sài Gòn,Hồ Chí Minh
244,245,Nhà xe Phát Thủy Bạc Liêu,"Address: 63 Đ. Số 1A, An Lạc, Bình Tân, Hồ Chí Minh, Vietnam",10.7237335,106.6131068,"[""Bus was late. Seats are smaller than Futa bus. Sale people wake you up.""]",2.5,parking Sài Gòn,Hồ Chí Minh
245,246,Công Ty Trách Nhiệm Hữu Hạn Vận Tải Hoàng Nam S.g,"Address: 33/1Q ấp Đông Lân, Bà Điểm, Hóc Môn, Hồ Chí Minh, Vietnam",10.8453844,106.6098453,"[""The shipping company lost or damaged the goods and did not pay for it, so they refused to pay. The price for the goods was sometimes this, sometimes that. The trucks were always sent to other trucks outside the company, there were none. …""]",4.0,parking Sài Gòn,Hồ Chí Minh
246,247,Ba Son Station,"Address: Bến Nghé, District 1, Ho Chi Minh City, Vietnam",10.7815455,106.7079053,"[""Big, clean, near the riverbank, a nice spot for taking photos and chilling out"", ""During the free trial time, the Metro is always crowded. The staffs are quite aggressive. The Metro system is not organised since there is no visible procedure to follow, as long as no digital board to announce the time when Metro train …"", ""This is a metro station but out side is beautiful""]",4.7,parking Sài Gòn,Không xác định
247,248,Bến xe Miền Đông Mới,"Address: Bến xe Miền Đông mới, Bình An, Thủ Đức, Hồ Chí Minh, Vietnam",10.8804117,106.8156933,"[""Look new\nAlmost the staffs bad attitude …"", ""New, so the facilities were still in good condition. Modern design."", ""Clean restrooms like most other garages, with hand sanitizer, spacious waiting seats, and affordable underground parking.""]",4.1,parking Sài Gòn,Hồ Chí Minh
248,249,Sai Gon Cargo Service Coporation,"Address: 30 Đ. Phan Thúc Duyện, Phường 4, Tân Bình, Hồ Chí Minh 70000, Vietnam",10.8053059,106.6597484,"[""Good service with reasonable price."", ""BAB SERVICE, STAFF TOO IMPOLITE WITH CUSTOMMER""]",4.0,parking Sài Gòn,Hồ Chí Minh
249,250,Metro Tan Cang Station,"Address: 687 Điện Biên Phủ, Phường 25, Bình Thạnh, Hồ Chí Minh, Vietnam",10.798757,106.7231481,"[""Better to take other transport until they figure things out. Waited in this line for 25 minutes, then gave up. They only let 5-10 people go up to the platform at a time. In the 25 minutes I was there, only two groups moved up the stairs. As …"", ""It's Metro station. It's finally completed and starting their business!! The station itself is still very clean. It seems like there is no connection to Vinhome side, and it may take time to come to. It seems like they have a plant to make …"", ""⭐️⭐️⭐️⭐️\nGreat for bulk shopping, clean and convenient …""]",4.7,parking Sài Gòn,Hồ Chí Minh
250,251,Hộ kinh doanh bãi giữ xe ôtô xe máy 24/24,"Address: 15/20 Hẻm 15/70 Hòa Bình, Phường 3, Quận 11, Hồ Chí Minh, Vietnam",10.7648619,106.636621,"[""Is there any parking space? Please bring the key."", ""The parking lot at the entrance is large, very easy to move in and out, has a cool roof, the parking lot is clean, the staff here are very enthusiastic in supporting you.""]",5.0,bãi giữ xe máy TP.HCM,Hồ Chí Minh
251,252,Bãi giữ xe máy và ôtô 24/7,"Address: 378/4 Điện Biên Phủ, Phường 10, Quận 10, Hồ Chí Minh, Vietnam",10.7743222,106.6800872,"[""Keep hospital motorbikes safe 👍 …"", ""Parking lot is located in spacious alley 378\ncar parking ticket 70k/time\novernight 100-150/night …""]",5.0,bãi giữ xe máy TP.HCM,Hồ Chí Minh
252,253,"Bãi Giữ Xe Hơi, Xe Máy","Address: Phường 22, Bình Thạnh, Ho Chi Minh City, Vietnam",10.7971811,106.7219086,"[""What could be better than a parking lot right next to Landmark81? Its convenience and spaciousness combined with the enthusiastic, cheerful and responsible attitude of the parking lot managers gave me and my friends a fun and secure evening."", ""Absolutely wonderful! My friends and I wanted to go for a walk to Vinhomes park after a long day of work, but this was also peak time and we were too lazy to go to the parking garage because it was too crowded. Luckily, we found a spacious and secure parking lot right in the Vinhomes area, it's genuine and the price is cheap!""]",5.0,bãi giữ xe máy TP.HCM,Không xác định
253,254,Bãi giữ xe máy trong nhà ngày & đêm,"Address: 175/16 Đ. Nguyễn Thiện Thuật, Phường 1, Quận 3, Hồ Chí Minh, Vietnam",10.7682163,106.6790098,"[""Keep your car carefully and safely. Gentle aunt and uncle""]",5.0,bãi giữ xe máy TP.HCM,Hồ Chí Minh
254,255,Bãi giữ xe Ô tô - Xe máy Phương Nam 24/24,"Address: 52 Đ. Ung Văn Khiêm, Phường 25, Bình Thạnh, Hồ Chí Minh, Vietnam",10.8083634,106.7144272,"[""The beach is covered, paved, spacious, fronting Ung Van Khiem street. Price calculated by fixed block:\nBefore 7am: 50k\nFrom 7am: 50k"", ""Reasonable parking price, polite staff, car wash and vacuuming very reasonable"", ""This parking lot is very large, paved with asphalt, with a metal roof, very reasonable prices, spacious and comfortable for vehicles. Near Hutech school in alley 31 UVK, convenient for students to park their motorbikes. The staff is cheerful and enthusiastic. They wash customers' vehicles cleanly.""]",4.6,bãi giữ xe máy TP.HCM,Hồ Chí Minh
255,256,Bãi Giữ Xe CĐT,"Address: C18 tổ 220 ẤP 4B, Bình Hưng, Bình Chánh, Hồ Chí Minh, Vietnam",10.737024,106.688595,"[""spacious covered parking lot 1 100 000 VND to 1 200 000 VND per month"", ""Corrugated iron roof, friendly, comfortable. 24/7"", ""Spacious and airy""]",4.9,bãi giữ xe máy TP.HCM,Hồ Chí Minh
256,257,Bãi giữ xe máy lô 3C,"Address: 68C Nguyễn Thị Nhỏ, Phường 15, Quận 11, Hồ Chí Minh, Vietnam",10.7695963,106.6527257,"[""Parking overnight""]",4.0,bãi giữ xe máy TP.HCM,Hồ Chí Minh
257,258,Bãi giữ xe máy và Ôtô,"Address: RP98+JV6, Cư xá Thanh Đa, Bình Thạnh, Hồ Chí Minh, Vietnam",10.8190453,106.717138,"[""Looks more like a warehouse than a parking lot""]",4.0,bãi giữ xe máy TP.HCM,Hồ Chí Minh
258,259,Bãi Giữ Xe Thiết Mộc Lan,"Address: 30a Đỗ Nhuận, Sơn Kỳ, Tân Phú, Hồ Chí Minh, Vietnam",10.8050085,106.6257604,"[""Parking ok. Large parking lot.""]",4.5,bãi giữ xe máy TP.HCM,Hồ Chí Minh
259,260,Bãi giữ xe Văn Trung 24/24 ô tô - xe máy,"Address: 51-53A Đ. An Dương Vương, Phường 7, Quận 5, Hồ Chí Minh, Vietnam",10.7569417,106.6725671,"[""The new employee works too slowly. I've only been here for 2 months. Seeing that he's older, I'm sympathetic, but he's still irritable and unfriendly. If I accidentally overshoot the camera, he's always babbling and unprofessional. The young employee is friendly and the place is cool, so I gave him 2 stars."", ""Spacious, airy, large surrounding buildings block the sun so it doesn't get hot. Reasonable price, send from 8am to 3pm for 50k"", ""Motorbikes are parked all over the place.""]",2.7,bãi giữ xe máy TP.HCM,Hồ Chí Minh
260,261,Bãi giữ xe 500/4,"Address: 500/4 Nguyễn Chí Thanh, Phường 6, Quận 10, Hồ Chí Minh 700000, Vietnam",10.7589807,106.6621862,"[""Okay, enthusiastic. The entrance is a bit small. The owner helps drive the car in."", ""As soon as I got home, the owner came out and drove the car for customers, quite friendly and positive. Anyone who goes to RHM hospital can consider it"", ""The beach is ok and easy to get to, but the road is a bit challenging for new drivers :)""]",4.4,bãi giữ xe máy TP.HCM,Hồ Chí Minh
261,262,BÃI GIỮ XE 189 HOÀ BÌNH,"Address: 189 Đ. Hòa Bình, Hiệp Tân, Tân Phú, Hồ Chí Minh 72000, Vietnam",10.7711156,106.6282581,"[""It's hard for a weak female driver like me to start the car so I don't meet the cute staff who give me a lot of support 👍👍👍👍👍 …"", ""Beautiful, safe, professional parking lot! I feel very secure when sending here! The entrance is spacious and extremely convenient. For a female driver like me, it's really easy to get in and out of the parking lot, and there's even a car wash! Wow! I really like it!⭐️⭐️⭐️⭐️⭐️"", ""Clean parking lot, security, surveillance cameras, safe, enthusiastic service style, feel very satisfied with the experience.""]",4.9,bãi giữ xe máy TP.HCM,Hồ Chí Minh
262,263,Bãi giữ xe ôtô Hòa Hưng,"Address: 125/19 Hoà Hưng, Phường 12, q10, Hồ Chí Minh 70000, Vietnam",10.7775683,106.6728915,"[""Clean, airy parking lot, reasonable price ^^ No. 125/19 Hoa Hung F12 District 10"", ""Overnight price please"", ""Family car park, very friendly""]",4.8,bãi giữ xe máy TP.HCM,Hồ Chí Minh
263,264,Bãi giữ xe,"Address: 35 Nguyễn Huy Lượng, Phường 14, Bình Thạnh, Hồ Chí Minh, Vietnam",10.805512,106.6959568,"[""Opposite the cafe there is a parking lot for convenient transportation."", ""Next to Oncology Hospital. Price 70,000 1 piece. Convenient to go to the doctor"", ""Comfortable, has hammock for driver, clean toilet""]",4.3,bãi giữ xe máy TP.HCM,Hồ Chí Minh
264,265,Bãi gửi xe máy Song Lâm,"Address: 25 Huỳnh Thúc Kháng, Bến Nghé, Quận 1, Hồ Chí Minh, Vietnam",10.7731515,106.7030374,"[""They are charging 50kVND/bike because of the upcoming National Holiday 30/04. This price is ridiculous and just pure ripoff people and greedy. Please park elsewhere."", ""The parking lot charges an outrageous fee of 50,000 VND per vehicle, and the staff are rude and impolite — I strongly advise against parking here."", ""The parking lot is not doing well\nApril 19, 2025 sent the car to watch the fireworks on the occasion of the 50th Liberation Day …""]",1.3,bãi giữ xe máy TP.HCM,Hồ Chí Minh
265,266,Bãi Xe 24/7,"Address: 58/2A QL1A, Bà Điểm, Hóc Môn, Hồ Chí Minh 700000, Vietnam",10.8301601,106.6042247,[],4.6,bãi giữ xe máy TP.HCM,Hồ Chí Minh
266,267,Bãi xe 24h,"Address: 332 Cao Thắng, Phường 12, Quận 10, Hồ Chí Minh, Vietnam",10.7746952,106.6743114,"[""This parking lot has two employees with very bad attitudes who only bully. The parking lot is lined with sand and rocks so parking is very dirty and smelly. Anyone who has just washed a car strongly advises against leaving their car here."", ""In front of us is an attitude guard. To see if there are any more, add a few more 1s ratings.""]",2.9,bãi giữ xe máy TP.HCM,Hồ Chí Minh
267,268,Bãi Giữ Xe Ô Tô 24/24,"Address: 2 Đ. Tống Văn Trân, Phường 5, Quận 11, Hồ Chí Minh, Vietnam",10.7705076,106.6436229,"[""The parking lot is large, covered, staff is ok, and accepts monthly parking. As for car rental, the parking lot is just an intermediary between the renter and the car owner, the parking lot itself is not the car owner. If I have the opportunity, I will return to this place, overall quite satisfied."", ""Large parking lot, usually parking by month or year.\nThere are also tourist cars for rent from 4 to 45 seats""]",4.3,bãi giữ xe máy TP.HCM,Hồ Chí Minh
268,269,Bãi Giữ Xe Ô Tô,"Address: 1 Cư Xá Đồng Tiến, Phường 14, Quận 10, Hồ Chí Minh, Vietnam",10.7696151,106.6645914,"[""First 3 hours 30k, next 1 hour 10k. Near rice, pho, coffee, hot sun""]",3.9,bãi giữ xe máy TP.HCM,Hồ Chí Minh
269,270,Bãi Gửi Xe Bình Minh,"Address: 27 Tân Hưng, Phường 12, Quận 5, Hồ Chí Minh 80000, Vietnam",10.7551994,106.6591657,"[""Beautiful beach, cool, cheap cost. Anyone who goes to the hospital to park can leave it here, it's great."", ""The parking lot is not open for retail customers."", ""Great. 10 points 🥰 …""]",4.4,bãi giữ xe máy TP.HCM,Hồ Chí Minh
